,SN,z_helio,z_helio_err,z_HD,z_HD_err,mu_ext,mu_ext_err,mu,mu_err,log_Mass,EBV_MW,T0,T0_err,AV,AV_err,theta,theta_err
135,SN2016aqb,0.06289,4e-05,0.06392,4e-05,37.19331,0.01704,36.993790000000004,0.11524000000000001,10.397,0.0323366,57451.04,0.36,0.06971000000000001,0.04282,-0.76753,0.19785999999999998
136,SN2016ayg,0.04269,0.00011999999999999999,0.0434,0.00011999999999999999,36.31998,0.025730000000000003,36.35481,0.11515999999999998,8.482000000000001,0.0420161,57467.35,0.35,0.14423,0.06302,-0.22675,0.19230999999999998
137,SN2016esh,0.04457,2.9999999999999997e-05,0.045860000000000005,2.9999999999999997e-05,36.443659999999994,0.023719999999999998,36.3131,0.11962,9.776,0.0306493,57612.99,0.37,0.03898,0.03273,0.32234,0.28303
138,SN2016gfr,0.01669,0.00011999999999999999,0.016919999999999998,0.00011999999999999999,34.23104,0.06599,34.092729999999996,0.10867,9.783999999999999,0.11479,57657.37,0.32,0.07216,0.04715,-0.52746,0.15739
139,SN2016gmb,0.05827,8e-05,0.05867000000000001,8e-05,36.99896,0.01874,36.99788,0.11815999999999999,9.64,0.029260400000000006,57657.46,0.72,0.04198,0.035710000000000006,-0.9606,0.21059
140,SN2016hhv,0.061939999999999995,0.00014,0.061189999999999994,0.00014,37.09424,0.018430000000000002,37.173320000000004,0.1263,11.495999999999999,0.051069300000000005,57692.34,1.13,0.06681000000000001,0.0564,0.02597,0.49513
141,SN2016hpx,0.03337,0.00045999999999999996,0.03242,0.00045999999999999996,35.66876,0.04551,35.60805,0.11785,9.895,0.0245107,57703.38,0.43,0.16745,0.07137,-0.77636,0.18219000000000002
142,SN2016ixf,0.06602000000000001,0.00011,0.06709,0.00011,37.30337,0.016569999999999998,37.375440000000005,0.11762,7.832999999999999,0.0293128,57743.24,0.91,0.04652,0.03879,-0.56857,0.24620999999999998
143,SN2017cii,0.03324,1e-05,0.03275,1e-05,35.69129,0.03316,35.78165,0.11697,9.705,0.057991499999999994,57837.14,0.59,0.10255,0.06023,-0.64683,0.15645
144,SN2017ciy,0.03765,0.00105,0.03843,0.00105,36.04784,0.06571,36.01274,0.11764000000000001,10.215,0.055229999999999994,57841.41,0.68,0.55601,0.07339,-0.45169,0.16595
